Date,^J203.JO
2014-11-17,50511.51953125
2014-11-18,50372.05078125
2014-11-19,50150.48046875
2014-11-20,49272.05078125
2014-11-21,50855.08984375
2014-11-24,50727.21875
2014-11-25,50507.58984375
2014-11-26,50355.78125
2014-11-27,50557.828125
2014-11-28,49911.37109375
2014-12-01,48858.76171875
2014-12-02,49591.4296875
2014-12-03,49857.1796875
2014-12-04,49392.58984375
2014-12-05,49506.58984375
2014-12-08,49590.19921875
2014-12-09,48556.55078125
2014-12-10,48745.4296875
2014-12-11,48110.51953125
2014-12-12,48043.19140625
2014-12-15,47397.44140625
2014-12-16,48043.19140625
2014-12-17,47282.48046875
2014-12-18,49290.55859375
2014-12-19,49386.7109375
2014-12-22,49339.3203125
2014-12-23,49568.0
2014-12-24,49478.5703125
2014-12-29,50254.078125
2014-12-30,49755.609375
2014-12-31,49770.6015625
2015-01-02,49518.48046875
2015-01-05,47831.0390625
2015-01-06,48598.19140625
2015-01-07,48961.05859375
2015-01-08,49595.44140625
2015-01-09,48950.5
2015-01-12,48468.390625
2015-01-13,49433.0
2015-01-14,48057.4609375
2015-01-15,48524.25
2015-01-16,48458.25
2015-01-19,48996.94140625
2015-01-20,49124.76953125
2015-01-21,49588.7890625
2015-01-22,49872.69140625
2015-01-23,49816.5703125
2015-01-26,50337.98046875
2015-01-27,50711.08984375
2015-01-28,51200.5703125
2015-01-29,50945.55859375
2015-01-30,51266.80859375
2015-02-02,51394.55078125
2015-02-03,51949.328125
2015-02-04,51630.8203125
2015-02-05,51688.69921875
2015-02-06,51998.3203125
2015-02-09,52105.37890625
2015-02-10,52109.5390625
2015-02-11,52069.30078125
2015-02-12,52507.9296875
2015-02-13,52967.62890625
2015-02-16,52995.890625
2015-02-17,52833.48046875
2015-02-18,52536.23828125
2015-02-19,52835.55078125
2015-02-20,53035.26171875
2015-02-23,53336.4609375
2015-02-24,53374.87890625
2015-02-25,53217.75
2015-02-26,53331.16015625
2015-02-27,53344.19921875
2015-03-02,52952.91015625
2015-03-03,53130.33984375
2015-03-04,52891.30078125
2015-03-05,53285.6015625
